,ID,instrument,granularity,timestamp,volume,open,high,low,close,complete,dateYYYMMDD,timeHHMMSS,year,month,day,hour,minute,second
509,EUR_USD|H1|20180925|090000,EUR_USD,H1,2018-09-25 09:00:00,2387,1.17614,1.17683,1.17587,1.17667,True,20180925,090000,2018,09,25,09,00,00
510,EUR_USD|H1|20180925|100000,EUR_USD,H1,2018-09-25 10:00:00,1669,1.17667,1.17670,1.17595,1.17622,True,20180925,100000,2018,09,25,10,00,00
511,EUR_USD|H1|20180925|110000,EUR_USD,H1,2018-09-25 11:00:00,3253,1.17622,1.17912,1.17599,1.17821,True,20180925,110000,2018,09,25,11,00,00
512,EUR_USD|H1|20180925|120000,EUR_USD,H1,2018-09-25 12:00:00,2335,1.17821,1.17843,1.17728,1.17802,True,20180925,120000,2018,09,25,12,00,00
513,EUR_USD|H1|20180925|130000,EUR_USD,H1,2018-09-25 13:00:00,2709,1.17802,1.17893,1.17766,1.17853,True,20180925,130000,2018,09,25,13,00,00
514,EUR_USD|H1|20180925|140000,EUR_USD,H1,2018-09-25 14:00:00,3790,1.17853,1.17933,1.17769,1.17868,True,20180925,140000,2018,09,25,14,00,00
515,EUR_USD|H1|20180925|150000,EUR_USD,H1,2018-09-25 15:00:00,2661,1.17868,1.17872,1.17656,1.17708,True,20180925,150000,2018,09,25,15,00,00
516,EUR_USD|H1|20180925|160000,EUR_USD,H1,2018-09-25 16:00:00,1143,1.17708,1.17761,1.17676,1.17733,True,20180925,160000,2018,09,25,16,00,00
517,EUR_USD|H1|20180925|170000,EUR_USD,H1,2018-09-25 17:00:00,1542,1.17733,1.17761,1.17618,1.17639,True,20180925,170000,2018,09,25,17,00,00
518,EUR_USD|H1|20180925|180000,EUR_USD,H1,2018-09-25 18:00:00,976,1.17639,1.17712,1.17617,1.17679,True,20180925,180000,2018,09,25,18,00,00
519,EUR_USD|H1|20180925|190000,EUR_USD,H1,2018-09-25 19:00:00,728,1.17679,1.17716,1.17645,1.17670,True,20180925,190000,2018,09,25,19,00,00
520,EUR_USD|H1|20180925|200000,EUR_USD,H1,2018-09-25 20:00:00,394,1.17670,1.17699,1.17661,1.17679,True,20180925,200000,2018,09,25,20,00,00
521,EUR_USD|H1|20180925|210000,EUR_USD,H1,2018-09-25 21:00:00,798,1.17679,1.17739,1.17651,1.17671,True,20180925,210000,2018,09,25,21,00,00
522,EUR_USD|H1|20180925|220000,EUR_USD,H1,2018-09-25 22:00:00,493,1.17671,1.17686,1.17654,1.17675,True,20180925,220000,2018,09,25,22,00,00
523,EUR_USD|H1|20180925|230000,EUR_USD,H1,2018-09-25 23:00:00,313,1.17675,1.17695,1.17624,1.17639,True,20180925,230000,2018,09,25,23,00,00
524,EUR_USD|H1|20180926|000000,EUR_USD,H1,2018-09-26 00:00:00,1052,1.17639,1.17669,1.17576,1.17580,True,20180926,000000,2018,09,26,00,00,00
